idserie, size, t, d, ans, ends,  Mixed , RMQH with RMQBucket, RMQH with RMQSt, RangeList with RMQBucket
1, 229875, 3.00, 0.10, 994, 660 , 1.21  , 6.70  , 7.23  , 0.19  
1, 229875, 5.00, 0.10, 1280, 697 , 1.47  , 8.53  , 19.01  , 0.24  
1, 229875, 5.00, 0.10, 2526, 1426 , 2.54  , 9.06  , 19.15  , 0.53  
1, 229875, 7.00, 0.20, 1301, 596 , 1.49  , 8.80  , 7.21  , 0.21  
1, 229875, 9.00, 0.10, 4653, 2059 , 3.98  , 11.51  , 18.77  , 0.91  
1, 229875, 9.00, 0.20, 1153, 479 , 1.38  , 11.26  , 18.62  , 0.18  
1, 229875, 11.00, 0.20, 953, 349 , 1.27  , 16.37  , 18.52  , 0.14  
1, 229875, 13.00, 0.10, 6521, 2390 , 5.14  , 20.00  , 18.65  , 1.15  
1, 229875, 13.00, 0.30, 715, 260 , 0.98  , 19.83  , 18.43  , 0.10  
1, 229875, 15.00, 0.40, 438, 153 , 0.80  , 20.51  , 7.21  , 0.07  
1, 229875, 17.00, 0.10, 7403, 2384 , 5.67  , 22.95  , 18.65  , 1.36  
1, 229875, 17.00, 0.40, 301, 84 , 0.72  , 22.95  , 18.39  , 0.04  
1, 229875, 19.00, 0.50, 186, 48 , 0.65  , 22.65  , 18.34  , 0.03  
1, 229875, 21.00, 0.20, 7695, 2187 , 5.83  , 22.37  , 18.54  , 1.35  
1, 229875, 21.00, 0.60, 82, 17 , 0.58  , 22.39  , 18.27  , 0.01  
1, 229875, 23.00, 0.70, 31, 3 , 0.57  , 21.85  , 18.22  , 0.01  
1, 229875, 25.00, 0.20, 7943, 2106 , 5.95  , 23.93  , 18.46  , 1.37  
1, 229875, 25.00, 0.90, 25, 1 , 0.56  , 23.94  , 18.18  , 0.00  
1, 229875, 27.00, 1.10, 0, 0 , 0.56  , 27.52  , 18.15  , 0.00  
1, 229875, 29.00, 0.20, 7832, 1922 , 5.91  , 30.21  , 18.41  , 1.37  
1, 229875, 29.00, 1.30, 0, 0 , 0.55  , 30.14  , 18.14  , 0.00  
1, 229875, 31.00, 1.50, 0, 0 , 0.54  , 32.22  , 7.26  , 0.00  
1, 229875, 33.00, 0.20, 7363, 1651 , 5.55  , 32.70  , 18.34  , 1.14  
1, 229875, 37.00, 0.20, 6674, 1334 , 5.02  , 27.20  , 18.27  , 1.00  
1, 229875, 41.00, 0.30, 6177, 1187 , 4.71  , 23.71  , 18.22  , 0.93  
1, 229875, 45.00, 0.30, 5027, 955 , 4.11  , 29.97  , 18.19  , 0.75  
1, 229875, 49.00, 0.30, 4234, 807 , 3.71  , 34.38  , 18.18  , 0.62  
1, 229875, 53.00, 0.30, 3377, 625 , 3.17  , 33.76  , 18.17  , 0.48  
1, 229875, 57.00, 0.40, 2862, 510 , 2.67  , 34.31  , 18.15  , 0.41  
1, 229875, 61.00, 0.40, 2279, 390 , 2.12  , 33.68  , 18.12  , 0.32  
2, 229875, 3.00, 0.10, 2789, 1849 , 2.58  , 6.68  , 7.27  , 0.60  
2, 229875, 5.00, 0.10, 3269, 1688 , 2.97  , 8.57  , 18.86  , 0.57  
2, 229875, 5.00, 0.10, 5716, 3011 , 4.37  , 9.14  , 19.01  , 1.11  
2, 229875, 7.00, 0.20, 2947, 1310 , 2.82  , 8.83  , 7.24  , 0.50  
2, 229875, 9.00, 0.10, 8627, 3445 , 6.04  , 11.56  , 18.71  , 1.69  
2, 229875, 9.00, 0.20, 2481, 918 , 2.46  , 11.28  , 18.53  , 0.40  
2, 229875, 11.00, 0.20, 1909, 626 , 2.02  , 16.25  , 18.48  , 0.28  
2, 229875, 13.00, 0.10, 10844, 3544 , 7.29  , 19.73  , 18.63  , 2.01  
2, 229875, 13.00, 0.30, 1395, 414 , 1.51  , 19.51  , 18.39  , 0.20  
2, 229875, 15.00, 0.40, 887, 231 , 1.07  , 19.89  , 7.21  , 0.13  
2, 229875, 17.00, 0.10, 11555, 3200 , 7.66  , 22.43  , 18.62  , 2.09  
2, 229875, 17.00, 0.40, 581, 131 , 0.86  , 22.42  , 18.33  , 0.08  
2, 229875, 19.00, 0.50, 326, 68 , 0.72  , 22.03  , 18.31  , 0.04  
2, 229875, 21.00, 0.20, 11853, 2911 , 7.79  , 21.71  , 18.55  , 2.09  
2, 229875, 21.00, 0.60, 192, 33 , 0.65  , 21.66  , 18.25  , 0.02  
2, 229875, 23.00, 0.70, 105, 17 , 0.62  , 21.07  , 18.21  , 0.01  
2, 229875, 25.00, 0.20, 11838, 2631 , 7.75  , 23.42  , 18.48  , 2.06  
2, 229875, 25.00, 0.90, 79, 11 , 0.60  , 23.40  , 18.18  , 0.01  
2, 229875, 27.00, 1.10, 58, 8 , 0.60  , 26.91  , 18.16  , 0.01  
2, 229875, 29.00, 0.20, 11938, 2376 , 7.64  , 29.67  , 18.45  , 1.82  
2, 229875, 29.00, 1.30, 55, 6 , 0.60  , 29.46  , 18.15  , 0.01  
2, 229875, 31.00, 1.50, 22, 3 , 0.57  , 31.50  , 7.26  , 0.00  
2, 229875, 33.00, 0.20, 10932, 2035 , 7.16  , 32.25  , 18.32  , 1.69  
2, 229875, 37.00, 0.20, 9700, 1679 , 6.45  , 26.56  , 18.29  , 1.50  
2, 229875, 41.00, 0.30, 9122, 1468 , 6.08  , 23.21  , 18.24  , 1.36  
2, 229875, 45.00, 0.30, 7761, 1162 , 5.30  , 29.50  , 18.21  , 1.05  
2, 229875, 49.00, 0.30, 6713, 964 , 4.69  , 33.90  , 18.19  , 0.92  
2, 229875, 53.00, 0.30, 5407, 732 , 4.01  , 33.27  , 18.17  , 0.74  
2, 229875, 57.00, 0.40, 4677, 581 , 3.55  , 33.81  , 18.17  , 0.63  
2, 229875, 61.00, 0.40, 3901, 444 , 3.05  , 33.17  , 18.15  , 0.51  
3, 229875, 3.00, 0.10, 2583, 1924 , 2.59  , 6.68  , 7.27  , 0.54  
3, 229875, 5.00, 0.10, 3605, 2219 , 3.38  , 8.58  , 19.19  , 0.77  
3, 229875, 5.00, 0.10, 6811, 4330 , 5.21  , 9.14  , 19.34  , 1.70  
3, 229875, 7.00, 0.20, 3656, 1956 , 3.45  , 8.85  , 7.24  , 0.75  
3, 229875, 9.00, 0.10, 12233, 6104 , 8.31  , 11.62  , 18.99  , 2.85  
3, 229875, 9.00, 0.20, 3348, 1598 , 3.29  , 11.29  , 18.76  , 0.61  
3, 229875, 11.00, 0.20, 2951, 1247 , 3.03  , 16.48  , 18.61  , 0.52  
3, 229875, 13.00, 0.10, 16473, 6866 , 10.64  , 20.29  , 18.79  , 3.87  
3, 229875, 13.00, 0.30, 2388, 925 , 2.57  , 19.94  , 18.49  , 0.42  
3, 229875, 15.00, 0.40, 1813, 714 , 2.07  , 20.87  , 7.22  , 0.31  
3, 229875, 17.00, 0.10, 18434, 6715 , 11.74  , 23.34  , 18.84  , 4.11  
3, 229875, 17.00, 0.40, 1329, 500 , 1.62  , 23.27  , 18.49  , 0.23  
3, 229875, 19.00, 0.50, 894, 292 , 1.10  , 23.03  , 18.39  , 0.14  
3, 229875, 21.00, 0.20, 19171, 6297 , 12.19  , 22.86  , 18.68  , 4.14  
3, 229875, 21.00, 0.60, 581, 186 , 0.88  , 22.80  , 18.31  , 0.09  
3, 229875, 23.00, 0.70, 312, 96 , 0.73  , 22.34  , 18.25  , 0.05  
3, 229875, 25.00, 0.20, 19922, 6021 , 12.69  , 24.34  , 18.59  , 3.61  
3, 229875, 25.00, 0.90, 149, 56 , 0.65  , 24.24  , 18.21  , 0.02  
3, 229875, 27.00, 1.10, 90, 25 , 0.60  , 27.87  , 18.18  , 0.01  
3, 229875, 29.00, 0.20, 20005, 5586 , 12.72  , 30.66  , 18.55  , 3.75  
3, 229875, 29.00, 1.30, 54, 13 , 0.58  , 30.52  , 18.17  , 0.01  
3, 229875, 31.00, 1.50, 20, 7 , 0.56  , 32.68  , 7.26  , 0.00  
3, 229875, 33.00, 0.20, 18993, 4979 , 12.28  , 33.06  , 18.50  , 3.50  
3, 229875, 37.00, 0.20, 17506, 4303 , 11.52  , 27.63  , 18.38  , 3.24  
3, 229875, 41.00, 0.30, 16833, 3912 , 11.13  , 24.08  , 18.32  , 2.89  
3, 229875, 45.00, 0.30, 15004, 3318 , 10.21  , 30.43  , 18.29  , 2.57  
3, 229875, 49.00, 0.30, 13796, 2928 , 9.61  , 34.67  , 18.25  , 2.35  
3, 229875, 53.00, 0.30, 12267, 2484 , 8.73  , 34.25  , 18.22  , 2.06  
3, 229875, 57.00, 0.40, 11135, 2202 , 8.09  , 34.58  , 18.20  , 1.80  
3, 229875, 61.00, 0.40, 9484, 1853 , 7.21  , 34.14  , 18.19  , 1.52  
4, 229875, 3.00, 0.10, 2020, 1518 , 2.15  , 6.69  , 7.25  , 0.40  
4, 229875, 5.00, 0.10, 3033, 1919 , 2.97  , 8.57  , 19.20  , 0.65  
4, 229875, 5.00, 0.10, 6133, 4035 , 4.83  , 9.12  , 19.35  , 1.57  
4, 229875, 7.00, 0.20, 3185, 1731 , 3.12  , 8.84  , 7.24  , 0.58  
4, 229875, 9.00, 0.10, 11687, 6146 , 8.04  , 11.61  , 19.02  , 2.89  
4, 229875, 9.00, 0.20, 2891, 1393 , 2.93  , 11.29  , 18.80  , 0.55  
4, 229875, 11.00, 0.20, 2490, 1057 , 2.60  , 16.53  , 18.61  , 0.45  
4, 229875, 13.00, 0.10, 15580, 6973 , 10.22  , 20.36  , 18.78  , 3.61  
4, 229875, 13.00, 0.30, 1943, 743 , 2.17  , 20.15  , 18.48  , 0.33  
4, 229875, 15.00, 0.40, 1488, 527 , 1.67  , 20.98  , 7.22  , 0.24  
4, 229875, 17.00, 0.10, 18070, 7115 , 11.56  , 23.46  , 18.88  , 4.22  
4, 229875, 17.00, 0.40, 1011, 339 , 1.20  , 23.37  , 18.53  , 0.16  
4, 229875, 19.00, 0.50, 673, 212 , 1.01  , 23.17  , 18.40  , 0.10  
4, 229875, 21.00, 0.20, 19200, 6907 , 12.28  , 22.99  , 18.69  , 3.78  
4, 229875, 21.00, 0.60, 421, 121 , 0.77  , 22.90  , 18.31  , 0.06  
4, 229875, 23.00, 0.70, 234, 62 , 0.65  , 22.40  , 18.26  , 0.03  
4, 229875, 25.00, 0.20, 19530, 6482 , 12.55  , 24.44  , 18.60  , 3.98  
4, 229875, 25.00, 0.90, 107, 29 , 0.59  , 24.33  , 18.21  , 0.01  
4, 229875, 27.00, 1.10, 54, 20 , 0.57  , 27.98  , 18.18  , 0.01  
4, 229875, 29.00, 0.20, 19057, 5870 , 12.36  , 30.78  , 18.54  , 3.80  
4, 229875, 29.00, 1.30, 24, 10 , 0.56  , 30.66  , 18.16  , 0.01  
4, 229875, 31.00, 1.50, 0, 0 , 0.54  , 32.77  , 7.26  , 0.00  
4, 229875, 33.00, 0.20, 18312, 5301 , 11.94  , 33.14  , 18.52  , 3.43  
4, 229875, 37.00, 0.20, 16905, 4606 , 11.29  , 27.77  , 18.40  , 3.27  
4, 229875, 41.00, 0.30, 15879, 4116 , 10.74  , 24.15  , 18.31  , 3.04  
